NAME,data_type,type,year,percent,Vot
Oregon,Exemption,Medical Exemption,2021,0.1,NA
Oregon,Exemption,Medical Exemption,2019,0.1,NA
Oregon,Exemption,Medical Exemption,2020,0.2,NA
Oregon,Exemption,Medical Exemption,2018,0.1,NA
Oregon,Exemption,Medical Exemption,2017,0.1,NA
Oregon,Exemption,Medical Exemption,2016,0.1,NA
Oregon,Exemption,Medical Exemption,2015,0.2,NA
Oregon,Exemption,Medical Exemption,2014,0.1,NA
Oregon,Exemption,Medical Exemption,2013,0.2,NA
Oregon,Exemption,Medical Exemption,2012,0.2,NA
Oregon,Exemption,Medical Exemption,2011,NA,NA
Oregon,Exemption,Medical Exemption,2010,0.2,NA
Oregon,Exemption,Any Exemption,2021,5.4,NA
Oregon,Exemption,Any Exemption,2020,7.1,NA
Oregon,Exemption,Any Exemption,2022,7,NA
Oregon,Exemption,Any Exemption,2019,7.7,NA
Oregon,Exemption,Any Exemption,2011,NA,NA
Oregon,Exemption,Any Exemption,2012,5.9,NA
Oregon,Exemption,Any Exemption,2018,7.6,NA
Oregon,Exemption,Any Exemption,2017,6.7,NA
Oregon,Exemption,Any Exemption,2016,6.3,NA
Oregon,Exemption,Any Exemption,2015,6,NA
Oregon,Exemption,Any Exemption,2014,7.1,NA
Oregon,Exemption,Any Exemption,2013,6.5,NA
Oregon,Exemption,Medical Exemption,2022,0.1,NA
Oregon,Exemption,Any Exemption,2010,5.4,NA
Oregon,Exemption,Non-Medical Exemption,2022,6.9,NA
Oregon,Exemption,Non-Medical Exemption,2013,6.4,NA
Oregon,Exemption,Non-Medical Exemption,2012,5.8,NA
Oregon,Exemption,Non-Medical Exemption,2011,NA,NA
Oregon,Exemption,Non-Medical Exemption,2010,5.2,NA
Oregon,Exemption,Non-Medical Exemption,2015,5.8,NA
Oregon,Exemption,Non-Medical Exemption,2014,7,NA
Oregon,Exemption,Non-Medical Exemption,2016,6.2,NA
Oregon,Exemption,Non-Medical Exemption,2017,6.5,NA
Oregon,Exemption,Non-Medical Exemption,2019,7.5,NA
Oregon,Exemption,Non-Medical Exemption,2018,7.5,NA
Oregon,Exemption,Non-Medical Exemption,2021,5.3,NA
Oregon,Exemption,Non-Medical Exemption,2020,6.9,NA
Oregon,Exemption,Any Exemption,2024,8.9,NA
Oregon,Exemption,Non-Medical Exemption,2024,8.8,NA
Oregon,Exemption,Medical Exemption,2024,0.1,NA
Oregon,Exemption,Any Exemption,2025,9.8,NA
Oregon,Exemption,Non-Medical Exemption,2025,9.7,NA
Oregon,Exemption,Medical Exemption,2025,0.1,NA
District of Columbia,Exemption,Non-Medical Exemption,2022,0.5,NA
District of Columbia,Exemption,Any Exemption,2010,1.1,NA
District of Columbia,Exemption,Any Exemption,2011,NA,NA
District of Columbia,Exemption,Medical Exemption,2015,0.6,NA
District of Columbia,Exemption,Medical Exemption,2016,0.5,NA
District of Columbia,Exemption,Medical Exemption,2017,0.6,NA
District of Columbia,Exemption,Medical Exemption,2018,NA,NA
District of Columbia,Exemption,Medical Exemption,2020,NA,NA
District of Columbia,Exemption,Medical Exemption,2019,NA,NA
District of Columbia,Exemption,Medical Exemption,2022,0,NA
District of Columbia,Exemption,Medical Exemption,2024,0.2,NA
District of Columbia,Exemption,Non-Medical Exemption,2024,2.1,NA
District of Columbia,Exemption,Any Exemption,2024,2.3,NA
District of Columbia,Exemption,Medical Exemption,2011,NA,NA
District of Columbia,Exemption,Medical Exemption,2012,1.3,NA
District of Columbia,Exemption,Medical Exemption,2013,1.3,NA
District of Columbia,Exemption,Medical Exemption,2014,1.1,NA
District of Columbia,Exemption,Medical Exemption,2010,0.8,NA
District of Columbia,Exemption,Medical Exemption,2025,0.3,NA
District of Columbia,Exemption,Non-Medical Exemption,2025,2.5,NA
District of Columbia,Exemption,Any Exemption,2025,2.7,NA
District of Columbia,Exemption,Any Exemption,2020,NA,NA
District of Columbia,Exemption,Any Exemption,2021,0.3,NA
District of Columbia,Exemption,Any Exemption,2019,NA,NA
District of Columbia,Exemption,Any Exemption,2022,0.5,NA
District of Columbia,Exemption,Any Exemption,2013,1.6,NA
District of Columbia,Exemption,Any Exemption,2014,1.5,NA
District of Columbia,Exemption,Any Exemption,2015,1.1,NA
District of Columbia,Exemption,Any Exemption,2016,1,NA
District of Columbia,Exemption,Any Exemption,2017,1.1,NA
District of Columbia,Exemption,Any Exemption,2018,NA,NA
District of Columbia,Exemption,Any Exemption,2012,2.1,NA
District of Columbia,Exemption,Non-Medical Exemption,2010,0.3,NA
District of Columbia,Exemption,Non-Medical Exemption,2011,NA,NA
District of Columbia,Exemption,Non-Medical Exemption,2012,0.8,NA
District of Columbia,Exemption,Non-Medical Exemption,2013,0.3,NA
District of Columbia,Exemption,Non-Medical Exemption,2014,0.4,NA
District of Columbia,Exemption,Non-Medical Exemption,2015,0.5,NA
District of Columbia,Exemption,Non-Medical Exemption,2016,0.4,NA
District of Columbia,Exemption,Non-Medical Exemption,2017,0.5,NA
District of Columbia,Exemption,Non-Medical Exemption,2018,NA,NA
District of Columbia,Exemption,Non-Medical Exemption,2019,NA,NA
District of Columbia,Exemption,Non-Medical Exemption,2021,0.3,NA
District of Columbia,Exemption,Non-Medical Exemption,2020,NA,NA
District of Columbia,Exemption,Non-Medical Exemption,2023,0.9,NA
District of Columbia,Exemption,Medical Exemption,2023,0.3,NA
District of Columbia,Exemption,Any Exemption,2023,1.3,NA
Kentucky,Exemption,Medical Exemption,2010,0.3,NA
Kentucky,Exemption,Medical Exemption,2018,0.3,NA
Kentucky,Exemption,Medical Exemption,2017,0.4,NA
Kentucky,Exemption,Medical Exemption,2016,0.2,NA
Kentucky,Exemption,Medical Exemption,2015,0.2,NA
Kentucky,Exemption,Any Exemption,2022,1.3,NA
Kentucky,Exemption,Any Exemption,2021,1,NA
Kentucky,Exemption,Any Exemption,2020,1.8,NA
Kentucky,Exemption,Non-Medical Exemption,2022,1.1,NA
Kentucky,Exemption,Any Exemption,2010,0.6,NA
Kentucky,Exemption,Any Exemption,2011,NA,NA
Kentucky,Exemption,Non-Medical Exemption,2020,1.4,NA
Kentucky,Exemption,Non-Medical Exemption,2021,0.8,NA
Kentucky,Exemption,Non-Medical Exemption,2019,1.2,NA
Kentucky,Exemption,Non-Medical Exemption,2018,1.1,NA
Kentucky,Exemption,Non-Medical Exemption,2017,0.7,NA
Kentucky,Exemption,Any Exemption,2012,0.6,NA
Kentucky,Exemption,Any Exemption,2018,1.4,NA
Kentucky,Exemption,Any Exemption,2017,1.1,NA
Kentucky,Exemption,Any Exemption,2016,0.9,NA
Kentucky,Exemption,Any Exemption,2015,0.9,NA
Kentucky,Exemption,Any Exemption,2014,0.9,NA
Kentucky,Exemption,Any Exemption,2013,0.7,NA
Kentucky,Exemption,Medical Exemption,2014,0.3,NA
Kentucky,Exemption,Medical Exemption,2013,0.2,NA
Kentucky,Exemption,Medical Exemption,2012,0.2,NA
Kentucky,Exemption,Medical Exemption,2011,NA,NA
Kentucky,Exemption,Medical Exemption,2022,0.2,NA
Kentucky,Exemption,Medical Exemption,2021,0.2,NA
Kentucky,Exemption,Medical Exemption,2019,0.3,NA
Kentucky,Exemption,Medical Exemption,2020,0.5,NA
Kentucky,Exemption,Any Exemption,2025,2.2,NA
Kentucky,Exemption,Non-Medical Exemption,2025,2,NA
Kentucky,Exemption,Medical Exemption,2025,0.1,NA
Kentucky,Exemption,Any Exemption,2024,2.3,NA
Kentucky,Exemption,Non-Medical Exemption,2024,2,NA
Kentucky,Exemption,Medical Exemption,2024,0.2,NA
Kentucky,Exemption,Non-Medical Exemption,2013,0.5,NA
Kentucky,Exemption,Non-Medical Exemption,2012,0.4,NA
Kentucky,Exemption,Non-Medical Exemption,2011,NA,NA
Kentucky,Exemption,Non-Medical Exemption,2010,0.3,NA
Kentucky,Exemption,Non-Medical Exemption,2015,0.7,NA
Kentucky,Exemption,Non-Medical Exemption,2014,0.6,NA
Kentucky,Exemption,Non-Medical Exemption,2016,0.7,NA
Kentucky,Exemption,Any Exemption,2019,1.4,NA
New Mexico,Exemption,Any Exemption,2022,1.4,NA
New Mexico,Exemption,Any Exemption,2010,0.7,NA
New Mexico,Exemption,Non-Medical Exemption,2022,1.1,NA
New Mexico,Exemption,Any Exemption,2021,0.9,NA
New Mexico,Exemption,Any Exemption,2020,1.5,NA
New Mexico,Exemption,Any Exemption,2012,2,NA
New Mexico,Exemption,Any Exemption,2018,1.7,NA
New Mexico,Exemption,Any Exemption,2017,2.3,NA
