OBJECTID,NAME,SQ_MILES,Shape__Area,Shape__Length
30,Ada,1060.61,2746990559,230870.1639
43,Adams,1369.66,3547421913,316855.6719
12,Bannock,1147.74,2972636090,374663.7037
27,Bear Lake,1050.01,2719534633,265030.946
33,Benewah,784.36,2031503892,199844.23
9,Bingham,2119.18,5488662517,401188.7508
21,Blaine,2652.92,6871064461,676795.0658
35,Boise,1906.35,4937447451,430864.6379
42,Bonner,1918.25,4968263058,378015.9299
10,Bonneville,1900.82,4923120179,373110.7668
41,Boundary,1277.71,3309258777,255596.0359
38,Butte,2237.34,5794704969,410339.7703
22,Camas,1076.07,2787007963,284424.7435
25,Canyon,603.94,1564193590,208355.9555
26,Caribou,1799.02,4659448582,374282.8828
15,Cassia,2578.85,6679217015,360560.1308
4,Clark,1763.41,4567231120,389683.8809
40,Clearwater,2487.05,6441466939,432800.486
37,Custer,4934.49,12780332360,751505.5275
36,Elmore,3101.99,8034144805,548214.2781
17,Franklin,667.68,1729292395,225848.6235
3,Fremont,1895.42,4909137270,395447.6973
23,Gem,564.68,1462524480,247129.7071
20,Gooding,733.65,1900145000,204240.1209
28,Idaho,8499.68,22014153955,872431.3322
5,Jefferson,1105.38,2862940323,269599.7767
14,Jerome,602.02,1559236473,181468.2774
34,Kootenai,1309.33,3391174881,249542.0708
32,Latah,1077.15,2789804389,237844.2705
31,Lemhi,4565.57,11824820772,798469.0662
29,Lewis,479.76,1242586683,230794.0904
19,Lincoln,1204.93,3120773536,240052.3379
7,Madison,473.35,1225978775,172848.9253
11,Minidoka,761.75,1972936053,230704.2794
1,Nez Perce,856.75,2218983412,282726.1036
16,Oneida,1200.01,3108021042,275421.1591
8,Owyhee,7697.21,19935758820,692799.9262
24,Payette,410.19,1062386385,169453.5337
18,Power,1441.28,3732913000,364493.8319
39,Shoshone,2642.01,6842806037,467199.1054
6,Teton,450.4,1166522514,168716.1189
13,Twin Falls,1927.3,4991694365,373557.1971
2,Valley,3731.99,9665860418,532036.911
44,Washington,1473.92,3817452855,291135.0039
