,county,FIPS,below.poverty.percent,Families..Below.Poverty.,Rank.within.US..of.3143.counties..x,County.y,below.education.percent,People..Education..Less.Than.9th.Grade.,Rank.within.US..of.3143.counties..y,County.x.x,median.income,Rank.within.US..of.3139.counties.,County.y.y,language.isolation.percent,Households..language.Isolation.,Rank.within.US..of.3142.counties.,County,Value..Percent..y.y,population.age.18.39,Rank.within.US..of.3143.counties.,SQ_MILES,Density,COUNTY,CON,DEM,LIB,REP,UNA,Total,CON.PERCENT,DEM.PERCENT,LIB.PERCENT,REP.PERCENT,UNA.PERCENT,FRINGE.PERCENT
38,Ada County,16001,5.5,7194,501,Ada County,1.7,5959,376,Ada County,107531,299,Ada County,1.4,2845,"2,039",Ada County,30,152186,"2,645",1060.61,143.49,ADA,946,61754,4345,168169,105305,340519,0.28,18.14,1.28,49.39,30.92,1.56
6,Adams County,16003,11.2,134,"2,077",Adams County,1.1,40,126,Adams County,70714,"2,318",Adams County,0,0,1,Adams County,18.3,842,71,1369.66,0.61,ADAMS,15,242,21,2352,628,3258,0.46,7.43,0.64,72.19,19.28,1.1
22,Bannock County,16005,7.6,1599,"1,110",Bannock County,1.4,787,227,Bannock County,85065,"1,206",Bannock County,0.8,273,"1,517",Bannock County,30.9,27363,"2,755",1147.74,23.84,BANNOCK,214,6760,589,25373,18707,51643,0.41,13.09,1.14,49.13,36.22,1.55
37,Bear Lake County,16007,5.6,92,533,Bear Lake County,0.3,13,12,Bear Lake County,86655,"1,094",Bear Lake County,1.3,30,"1,973",Bear Lake County,22.6,1480,545,1050.01,1.41,BEAR LAKE,20,165,15,3211,591,4002,0.5,4.12,0.37,80.23,14.77,0.87
8,Benewah County,16009,10.8,294,"1,985",Benewah County,2.3,165,800,Benewah County,66274,"2,564",Benewah County,0.8,32,"1,517",Benewah County,21.8,2158,394,784.36,2.75,BENEWAH,57,537,47,4526,1504,6671,0.85,8.05,0.7,67.85,22.55,1.55
26,Bingham County,16011,7.3,895,"1,022",Bingham County,5,1496,"2,275",Bingham County,87409,"1,052",Bingham County,1.8,293,"2,273",Bingham County,26.5,12978,"1,822",2119.18,6.12,BINGHAM,121,1903,179,16942,5505,24650,0.49,7.72,0.73,68.73,22.33,1.22
41,Blaine County,16013,5.1,320,412,Blaine County,5.1,922,"2,311",Blaine County,92889,769,Blaine County,4,391,"2,816",Blaine County,24.5,6026,"1,089",2652.92,2.27,BLAINE,30,4986,144,4926,6563,16649,0.18,29.95,0.86,29.59,39.42,1.04
43,Boise County,16015,4.2,102,215,Boise County,0.5,30,23,Boise County,90234,893,Boise County,0,0,1,Boise County,19.7,1581,149,1906.35,0.83,BOISE,50,468,68,4510,1327,6423,0.78,7.29,1.06,70.22,20.66,1.84
23,Bonner County,16017,7.5,990,"1,082",Bonner County,2.2,806,723,Bonner County,77825,"1,760",Bonner County,0.3,52,745,Bonner County,20.9,10323,263,1918.25,5.38,BONNER,273,3175,433,25544,7184,36609,0.75,8.67,1.18,69.78,19.62,1.93
34,Bonneville County,16019,6.4,1917,755,Bonneville County,3,2372,"1,313",Bonneville County,91829,826,Bonneville County,1.3,548,"1,973",Bonneville County,29,36808,"2,463",1900.82,19.36,BONNEVILLE,281,6088,737,42922,18164,68192,0.41,8.93,1.08,62.94,26.64,1.49
